Year,Zone,n_samples,MAE,RMSE,MAPE(%)
2016,1,350,1374.7,1671.39,16.75
2016,2,810,669.57,1063.09,9.97
2016,3,3989,735.17,1276.41,10.86
2016,4,13007,458.06,640.23,7.91
2016,5,1673,546.85,689.27,9.66
2017,1,619,1001.56,1339.9,17.17
2017,2,412,906.44,1185.33,18.62
2017,3,3631,605.53,754.71,12.5
2017,4,13606,655.01,791.61,9.62
2017,5,1630,721.28,949.57,13.73
2018,1,598,1572.35,1885.54,26.74
2018,2,543,863.0,1114.33,16.95
2018,3,3706,604.48,786.79,13.05
2018,4,13521,394.59,519.57,6.4
2018,5,1510,847.24,1132.03,19.16
2019,1,184,1692.82,2047.25,25.55
2019,2,352,1005.32,1317.28,20.54
2019,3,3905,626.29,842.94,12.14
2019,4,13895,486.0,687.19,8.16
2019,5,1629,771.88,1051.17,14.85
2020,2,1,187.6,187.6,2.93
2020,3,4038,652.31,908.91,14.56
2020,4,14888,454.98,590.52,7.59
2020,5,993,429.48,568.78,8.53
2021,2,1,757.73,757.73,14.08
2021,3,3991,766.82,1114.28,19.34
2021,4,14813,425.04,545.87,6.7
2021,5,1090,403.66,552.63,6.5
