feature,mean_abs_shap
P1_GDD,195.24278
Cum_VPD_P4,108.44547
P4_WUE,98.673836
P4_NDWI,56.443027
P3_VPD,55.025867
P3_PPT,32.001816
P4_PPT,26.079475
P3_EVI_max,24.731607
P3_WUE,24.632528
Delta_SM_P3,21.457254
P3_Hydrothermal_Balance,18.194492
P4_NIRv,18.171812
P1_EVI,18.104008
P1_EVI_max,17.994537
P4_EVI_max,17.876352
P4_VPD_max,17.739435
P1_Tmean,16.638056
P1_VPD,15.376664
P3_NDWI,15.2609215
P4_VPD,13.789129
P1_Hydrothermal_Balance,13.195536
P3_EVI,13.003818
Delta_NDWI_P3,12.934244
P4_Hydrothermal_Balance,11.781554
P2_EVI,11.502055
SOC,11.268021
P2_VPD_max,11.121327
P4_GDD,11.038917
P2_Hydrothermal_Balance,10.0191345
P3_NIRv,9.457053
P1_PPT,9.011076
P4_EVI,8.893397
P4_Tmean,8.533767
P4_Decoupling_Stress,8.054247
P2_PPT,7.765772
P1_SM,7.718192
P1_VPD_max,7.6315856
P4_Thermal_Efficiency,7.2184553
P2_Decoupling_Stress,7.2056403
P1_Decoupling_Stress,6.9698753
P3_VPD_max,6.9655113
Delta_SM_P2,6.907446
P2_Tmean,6.893427
Cum_VPD_P2,6.769379
P2_VPD,6.7563763
P3_Tmean,6.4684625
Cum_PPT_P4,6.4209075
Cum_VPD_P3,6.3912644
Cum_VPD_P1,6.2713
Delta_SM_P4,5.999785
P2_EVI_max,5.7959476
P3_Thermal_Efficiency,5.633235
Cum_FDD_P3,5.34337
P3_NDVI,5.2930493
P2_FDD,5.1294003
P3_NDVI_max,5.116792
P2_GDD,5.0720587
P4_NDVI,4.591567
Cum_PPT_P1,4.570414
P4_NDVI_max,4.1813397
P3_Decoupling_Stress,3.7947855
P1_Drought_Vulnerability,3.5477402
P3_GDD,3.4766245
P4_SM,3.3996828
Cum_PPT_P2,3.0549896
Cum_FDD_P2,2.9157553
P3_SM,2.8347156
Cum_PPT_P3,2.7161205
Cum_FDD_P4,2.5881877
P2_Thermal_Efficiency,2.3534932
P2_SM,2.2971296
Sand,1.5815572
P2_NDVI,1.4168386
P4_Fertility_Vigor,1.3470132
Delta_NDWI_P2,1.2056968
P3_FDD,1.1575257
Delta_NDVI_P4,1.1380969
Delta_NDWI_P4,0.95093507
P3_Drought_Vulnerability,0.8557203
P1_Fertility_Vigor,0.83504534
P2_NDWI,0.83299017
Delta_NDVI_P2,0.82183754
P1_NDWI,0.79002964
Delta_NDVI_P3,0.7367921
P3_Fertility_Vigor,0.7153105
P2_NDVI_max,0.6933744
P4_Drought_Vulnerability,0.6502489
P2_WUE,0.6352438
Clay,0.56306845
P2_NIRv,0.54949784
P1_WUE,0.4828954
P1_NDVI_max,0.45458013
P2_Drought_Vulnerability,0.41050074
P1_NDVI,0.40907285
P1_NIRv,0.40730673
P2_Fertility_Vigor,0.3915849
P1_Thermal_Efficiency,0.33374482
P1_FDD,0.25219738
P4_FDD,0.101563364
Cum_FDD_P1,0.07894498
