R2,RMSE,RRMSE(%),MAE,MAPE(%),d-index,test_year,feature_group,n_features
0.2,849.015,13.679,540.702,8.826,0.673,2016,raw,55
0.263,833.166,13.108,669.191,10.963,0.696,2017,raw,55
0.395,737.272,12.268,517.337,9.53,0.759,2018,raw,55
0.345,784.077,12.676,551.812,9.743,0.67,2019,raw,55
0.292,660.479,10.816,482.858,8.872,0.75,2020,raw,55
0.385,698.289,11.487,498.117,9.239,0.715,2021,raw,55
0.176,861.758,13.884,552.783,9.054,0.677,2016,raw_cum_delta,76
0.186,875.499,13.774,712.107,11.697,0.653,2017,raw_cum_delta,76
0.397,735.836,12.244,520.872,9.495,0.754,2018,raw_cum_delta,76
0.316,801.125,12.952,563.361,9.982,0.641,2019,raw_cum_delta,76
0.235,686.609,11.244,509.93,9.398,0.731,2020,raw_cum_delta,76
0.404,687.574,11.311,492.901,9.175,0.721,2021,raw_cum_delta,76
0.178,861.014,13.872,556.636,9.128,0.669,2016,full,100
0.215,859.893,13.529,697.115,11.444,0.666,2017,full,100
0.386,742.467,12.354,527.236,9.587,0.747,2018,full,100
0.359,775.602,12.539,538.511,9.595,0.685,2019,full,100
0.235,686.66,11.245,503.891,9.336,0.715,2020,full,100
0.34,723.632,11.904,496.23,9.353,0.699,2021,full,100
0.14,880.39,14.185,564.602,9.244,0.669,2016,full_all_ratio,80
0.156,891.344,14.024,723.394,11.901,0.642,2017,full_all_ratio,80
0.39,740.073,12.314,524.746,9.529,0.748,2018,full_all_ratio,80
0.337,788.4,12.746,553.857,9.749,0.666,2019,full_all_ratio,80
0.233,687.277,11.255,512.103,9.402,0.74,2020,full_all_ratio,80
0.4,690.063,11.352,494.455,9.189,0.716,2021,full_all_ratio,80
