stage,feature_group,n_features,n_years,R2,RMSE,MAE,MAPE,RRMSE,d_index
P1,Static,3,6,0.16724314826141953,837.1108144907063,616.3458514839609,10.844516449633595,13.590049522646945,0.6122203747920791
P1,Meteorology,16,6,0.14717377075918572,844.9339718136447,655.2949279243849,11.189344484510533,13.692373896306803,0.6267824905274265
P1,RS,6,6,-0.06021967465785483,941.5195462918641,723.012326272525,12.49128883178065,15.256285117000116,0.5185866267602774
P1,All,25,6,0.20113460376669848,818.2757382612762,626.3148956942241,10.691913796257973,13.260270197528497,0.6440024729049015
P2,Static,3,6,0.16724314826141953,837.1108144907063,616.3458514839609,10.844516449633593,13.590049522646945,0.6122203747920791
P2,Meteorology,33,6,0.10559782931755017,863.4759362485429,665.6163246062096,11.38160154831398,13.999144507018384,0.5997027177424142
P2,RS,14,6,0.0723089196132145,884.2241471602574,665.6077576787006,11.50947993276924,14.340719371694375,0.5677696591954879
P2,All,50,6,0.22321949390877735,806.6465745555385,605.2739286320402,10.403957579197527,13.076891158568955,0.6533340332746533
P3,Static,3,6,0.16724314826141948,837.1108144907063,616.3458514839609,10.844516449633593,13.590049522646948,0.6122203747920791
P3,Meteorology,50,6,0.1825105350526525,828.3366574245475,625.6295680674903,10.738439106581843,13.428594391420853,0.6328942140880667
P3,RS,22,6,0.15605938872367833,843.7872062898376,626.0573543973802,10.789669359580822,13.684525964415997,0.6248418394466589
P3,All,75,6,0.2705457811601331,782.8143251773453,576.065220506585,9.950554752497263,12.687985523948974,0.6768875671005258
P4,Static,3,6,0.16724314826141953,837.1108144907063,616.3458514839609,10.844516449633595,13.590049522646945,0.6122203747920791
P4,Meteorology,67,6,0.23254268947075452,803.0197701642177,597.4291815606139,10.329916164956899,13.025351280947026,0.6661701398808199
P4,RS,30,6,0.23817912345573208,801.6123475932806,585.6011356322316,10.171808946849671,13.00531592282666,0.6679167365221689
P4,All,100,6,0.29683474643640423,767.4531088574771,553.3051304342292,9.667955023292366,12.448473945046112,0.7038911243357195
